sample_id,noisy_path,clean_path,split
p232_043,data/raw/voicebank/noisy_testset_wav/p232_043.wav,data/raw/voicebank/clean_testset_wav/p232_043.wav,test
p232_044,data/raw/voicebank/noisy_testset_wav/p232_044.wav,data/raw/voicebank/clean_testset_wav/p232_044.wav,test
p232_045,data/raw/voicebank/noisy_testset_wav/p232_045.wav,data/raw/voicebank/clean_testset_wav/p232_045.wav,test
p232_046,data/raw/voicebank/noisy_testset_wav/p232_046.wav,data/raw/voicebank/clean_testset_wav/p232_046.wav,test
p232_047,data/raw/voicebank/noisy_testset_wav/p232_047.wav,data/raw/voicebank/clean_testset_wav/p232_047.wav,test
p232_048,data/raw/voicebank/noisy_testset_wav/p232_048.wav,data/raw/voicebank/clean_testset_wav/p232_048.wav,test
p232_049,data/raw/voicebank/noisy_testset_wav/p232_049.wav,data/raw/voicebank/clean_testset_wav/p232_049.wav,test
p232_050,data/raw/voicebank/noisy_testset_wav/p232_050.wav,data/raw/voicebank/clean_testset_wav/p232_050.wav,test
p232_051,data/raw/voicebank/noisy_testset_wav/p232_051.wav,data/raw/voicebank/clean_testset_wav/p232_051.wav,test
p232_052,data/raw/voicebank/noisy_testset_wav/p232_052.wav,data/raw/voicebank/clean_testset_wav/p232_052.wav,test
p232_053,data/raw/voicebank/noisy_testset_wav/p232_053.wav,data/raw/voicebank/clean_testset_wav/p232_053.wav,test
p232_054,data/raw/voicebank/noisy_testset_wav/p232_054.wav,data/raw/voicebank/clean_testset_wav/p232_054.wav,test
p232_055,data/raw/voicebank/noisy_testset_wav/p232_055.wav,data/raw/voicebank/clean_testset_wav/p232_055.wav,test
p232_056,data/raw/voicebank/noisy_testset_wav/p232_056.wav,data/raw/voicebank/clean_testset_wav/p232_056.wav,test
p232_057,data/raw/voicebank/noisy_testset_wav/p232_057.wav,data/raw/voicebank/clean_testset_wav/p232_057.wav,test
p232_058,data/raw/voicebank/noisy_testset_wav/p232_058.wav,data/raw/voicebank/clean_testset_wav/p232_058.wav,test
p232_059,data/raw/voicebank/noisy_testset_wav/p232_059.wav,data/raw/voicebank/clean_testset_wav/p232_059.wav,test
p232_060,data/raw/voicebank/noisy_testset_wav/p232_060.wav,data/raw/voicebank/clean_testset_wav/p232_060.wav,test
p232_061,data/raw/voicebank/noisy_testset_wav/p232_061.wav,data/raw/voicebank/clean_testset_wav/p232_061.wav,test
p232_062,data/raw/voicebank/noisy_testset_wav/p232_062.wav,data/raw/voicebank/clean_testset_wav/p232_062.wav,test
p232_063,data/raw/voicebank/noisy_testset_wav/p232_063.wav,data/raw/voicebank/clean_testset_wav/p232_063.wav,test
p232_064,data/raw/voicebank/noisy_testset_wav/p232_064.wav,data/raw/voicebank/clean_testset_wav/p232_064.wav,test
p232_065,data/raw/voicebank/noisy_testset_wav/p232_065.wav,data/raw/voicebank/clean_testset_wav/p232_065.wav,test
p232_066,data/raw/voicebank/noisy_testset_wav/p232_066.wav,data/raw/voicebank/clean_testset_wav/p232_066.wav,test
p232_067,data/raw/voicebank/noisy_testset_wav/p232_067.wav,data/raw/voicebank/clean_testset_wav/p232_067.wav,test
p232_068,data/raw/voicebank/noisy_testset_wav/p232_068.wav,data/raw/voicebank/clean_testset_wav/p232_068.wav,test
p232_069,data/raw/voicebank/noisy_testset_wav/p232_069.wav,data/raw/voicebank/clean_testset_wav/p232_069.wav,test
p232_070,data/raw/voicebank/noisy_testset_wav/p232_070.wav,data/raw/voicebank/clean_testset_wav/p232_070.wav,test
p232_071,data/raw/voicebank/noisy_testset_wav/p232_071.wav,data/raw/voicebank/clean_testset_wav/p232_071.wav,test
p232_072,data/raw/voicebank/noisy_testset_wav/p232_072.wav,data/raw/voicebank/clean_testset_wav/p232_072.wav,test
p232_073,data/raw/voicebank/noisy_testset_wav/p232_073.wav,data/raw/voicebank/clean_testset_wav/p232_073.wav,test
p232_074,data/raw/voicebank/noisy_testset_wav/p232_074.wav,data/raw/voicebank/clean_testset_wav/p232_074.wav,test
p232_075,data/raw/voicebank/noisy_testset_wav/p232_075.wav,data/raw/voicebank/clean_testset_wav/p232_075.wav,test
p232_076,data/raw/voicebank/noisy_testset_wav/p232_076.wav,data/raw/voicebank/clean_testset_wav/p232_076.wav,test
p232_077,data/raw/voicebank/noisy_testset_wav/p232_077.wav,data/raw/voicebank/clean_testset_wav/p232_077.wav,test
p232_078,data/raw/voicebank/noisy_testset_wav/p232_078.wav,data/raw/voicebank/clean_testset_wav/p232_078.wav,test
p232_079,data/raw/voicebank/noisy_testset_wav/p232_079.wav,data/raw/voicebank/clean_testset_wav/p232_079.wav,test
p232_080,data/raw/voicebank/noisy_testset_wav/p232_080.wav,data/raw/voicebank/clean_testset_wav/p232_080.wav,test
p232_081,data/raw/voicebank/noisy_testset_wav/p232_081.wav,data/raw/voicebank/clean_testset_wav/p232_081.wav,test
p232_082,data/raw/voicebank/noisy_testset_wav/p232_082.wav,data/raw/voicebank/clean_testset_wav/p232_082.wav,test
p232_083,data/raw/voicebank/noisy_testset_wav/p232_083.wav,data/raw/voicebank/clean_testset_wav/p232_083.wav,test
p232_084,data/raw/voicebank/noisy_testset_wav/p232_084.wav,data/raw/voicebank/clean_testset_wav/p232_084.wav,test
p232_085,data/raw/voicebank/noisy_testset_wav/p232_085.wav,data/raw/voicebank/clean_testset_wav/p232_085.wav,test
p232_086,data/raw/voicebank/noisy_testset_wav/p232_086.wav,data/raw/voicebank/clean_testset_wav/p232_086.wav,test
p232_087,data/raw/voicebank/noisy_testset_wav/p232_087.wav,data/raw/voicebank/clean_testset_wav/p232_087.wav,test
p232_088,data/raw/voicebank/noisy_testset_wav/p232_088.wav,data/raw/voicebank/clean_testset_wav/p232_088.wav,test
p232_089,data/raw/voicebank/noisy_testset_wav/p232_089.wav,data/raw/voicebank/clean_testset_wav/p232_089.wav,test
p232_090,data/raw/voicebank/noisy_testset_wav/p232_090.wav,data/raw/voicebank/clean_testset_wav/p232_090.wav,test
p232_091,data/raw/voicebank/noisy_testset_wav/p232_091.wav,data/raw/voicebank/clean_testset_wav/p232_091.wav,test
p232_092,data/raw/voicebank/noisy_testset_wav/p232_092.wav,data/raw/voicebank/clean_testset_wav/p232_092.wav,test
p232_093,data/raw/voicebank/noisy_testset_wav/p232_093.wav,data/raw/voicebank/clean_testset_wav/p232_093.wav,test
p232_094,data/raw/voicebank/noisy_testset_wav/p232_094.wav,data/raw/voicebank/clean_testset_wav/p232_094.wav,test
p232_095,data/raw/voicebank/noisy_testset_wav/p232_095.wav,data/raw/voicebank/clean_testset_wav/p232_095.wav,test
p232_096,data/raw/voicebank/noisy_testset_wav/p232_096.wav,data/raw/voicebank/clean_testset_wav/p232_096.wav,test
p232_097,data/raw/voicebank/noisy_testset_wav/p232_097.wav,data/raw/voicebank/clean_testset_wav/p232_097.wav,test
p232_098,data/raw/voicebank/noisy_testset_wav/p232_098.wav,data/raw/voicebank/clean_testset_wav/p232_098.wav,test
p232_099,data/raw/voicebank/noisy_testset_wav/p232_099.wav,data/raw/voicebank/clean_testset_wav/p232_099.wav,test
p232_100,data/raw/voicebank/noisy_testset_wav/p232_100.wav,data/raw/voicebank/clean_testset_wav/p232_100.wav,test
p232_101,data/raw/voicebank/noisy_testset_wav/p232_101.wav,data/raw/voicebank/clean_testset_wav/p232_101.wav,test
p232_102,data/raw/voicebank/noisy_testset_wav/p232_102.wav,data/raw/voicebank/clean_testset_wav/p232_102.wav,test
p232_103,data/raw/voicebank/noisy_testset_wav/p232_103.wav,data/raw/voicebank/clean_testset_wav/p232_103.wav,test
p232_104,data/raw/voicebank/noisy_testset_wav/p232_104.wav,data/raw/voicebank/clean_testset_wav/p232_104.wav,test
